school_id,school_name,undergraduate_enrollment,student_to_faculty_ratio,classes_less_than_20,acceptance_rate,graduation_rate,annual_cost,usnews_score,funding,type,state,state_abb,city,rmp_school_score,department,equivalent_byui_college,professor_name,overall_quality,difficulty,would_take_again,n_ratings
168,California State University Monterey,6693,24,0.36,0.93,0.32,13597,0.66,public,traditional,California,CA,Seaside,3.4,Health Science,College of Agriculture and Life Sciences,Steven Machek,3,4,1,1
168,California State University Monterey,6693,24,0.36,0.93,0.32,13597,0.66,public,traditional,California,CA,Seaside,3.4,Health Science,College of Agriculture and Life Sciences,Ken Howat,3.5,3,NA,3
168,California State University Monterey,6693,24,0.36,0.93,0.32,13597,0.66,public,traditional,California,CA,Seaside,3.4,Health Science,College of Agriculture and Life Sciences,Joanne Perron,4.9,2.7,NA,5
168,California State University Monterey,6693,24,0.36,0.93,0.32,13597,0.66,public,traditional,California,CA,Seaside,3.4,Health Science,College of Agriculture and Life Sciences,Christine Der,4.5,1.9,0.73,32
168,California State University Monterey,6693,24,0.36,0.93,0.32,13597,0.66,public,traditional,California,CA,Seaside,3.4,Health Science,College of Agriculture and Life Sciences,Lachanda Davis,5,4,1,1
168,California State University Monterey,6693,24,0.36,0.93,0.32,13597,0.66,public,traditional,California,CA,Seaside,3.4,Business,College of Business and Communication,Dianne Harrison,5,5,NA,1
168,California State University Monterey,6693,24,0.36,0.93,0.32,13597,0.66,public,traditional,California,CA,Seaside,3.4,Business,College of Business and Communication,Walt Henning,3.3,3.4,NA,5
168,California State University Monterey,6693,24,0.36,0.93,0.32,13597,0.66,public,traditional,California,CA,Seaside,3.4,Business,College of Business and Communication,Pat Tinsley,5,4,NA,2
168,California State University Monterey,6693,24,0.36,0.93,0.32,13597,0.66,public,traditional,California,CA,Seaside,3.4,Business,College of Business and Communication,Sarah Faulkner,2.9,2.6,NA,6
168,California State University Monterey,6693,24,0.36,0.93,0.32,13597,0.66,public,traditional,California,CA,Seaside,3.4,Business,College of Business and Communication,Maria Thomas,5,2,NA,2
168,California State University Monterey,6693,24,0.36,0.93,0.32,13597,0.66,public,traditional,California,CA,Seaside,3.4,Education,College of Education and Human Development,Kimberly Crossman,5,3.2,1,9
168,California State University Monterey,6693,24,0.36,0.93,0.32,13597,0.66,public,traditional,California,CA,Seaside,3.4,Education,College of Education and Human Development,Carl Ferguson,2.8,3,NA,2
168,California State University Monterey,6693,24,0.36,0.93,0.32,13597,0.66,public,traditional,California,CA,Seaside,3.4,Education,College of Education and Human Development,Charles Fuller,3,2,0,1
